DPC施設名,都道府県,病院類型,DPC算定病床数,病床総数,マッチ状態,スコア,病床報告施設名,候補2,候補3
ＴＡＯＫＡこころの医療センター,徳島県,令和5年度出来高算定病院,0.0,322.0,未結合,,,,
徳島赤十字ひのみね医療療育センター,徳島県,令和5年度出来高算定病院,0.0,140.0,完全一致,1.0,徳島赤十字ひのみね医療療育センタｰ,,
社会医療法人智徳会未来の風せいわ病院,岩手県,令和5年度出来高算定病院,0.0,267.0,未結合,,,,
岩手県立南光病院,岩手県,令和5年度出来高算定病院,0.0,256.0,未結合,,,,
医療法人松涛会南浜中央病院,宮城県,令和5年度出来高算定病院,0.0,197.0,未結合,,,,
医療法人東北会東北会病院,宮城県,令和5年度出来高算定病院,0.0,172.0,未結合,,,,
仙台エコー医療療育センター,宮城県,令和5年度出来高算定病院,0.0,120.0,完全一致,1.0,仙台エコー医療療育センター,,
社会医療法人二本松会山形さくら町病院,山形県,令和5年度出来高算定病院,0.0,339.0,未結合,,,,
医療法人隆仁会納病院,鹿児島県,令和5年度出来高算定病院,0.0,36.0,未結合,,,,
鹿児島県立姶良病院,鹿児島県,令和5年度出来高算定病院,0.0,250.0,未結合,,,,
医療法人財団青葉会青葉病院,東京都,令和5年度出来高算定病院,27.0,87.0,サフィックス一致,0.9,青葉病院,,
医療法人社団藤寿会佐藤病院,東京都,令和5年度出来高算定病院,0.0,98.0,完全一致,1.0,医療法人社団藤寿会 佐藤病院,,
医療法人社団すずき病院,東京都,令和5年度出来高算定病院,60.0,110.0,完全一致,1.0,医療法人社団すずき病院,,
医療法人社団湘南会亀有中央病院,東京都,令和5年度出来高算定病院,0.0,68.0,完全一致,1.0,医療法人社団湘南会 亀有中央病院,,
社会福祉法人桜ヶ丘社会事業協会桜ヶ丘記念病院,東京都,令和5年度出来高算定病院,0.0,447.0,未結合,,,,
公益財団法人積善会日向台病院,神奈川県,令和5年度出来高算定病院,0.0,299.0,未結合,,,,
一般財団法人野中東晧会静風荘病院,埼玉県,令和5年度出来高算定病院,0.0,124.0,サフィックス一致,0.9,静風荘病院,,
社会医療法人社団同仁会木更津病院,千葉県,令和5年度出来高算定病院,0.0,321.0,未結合,,,,
地方独立行政法人山梨県立病院機構山梨県立北病院,山梨県,令和5年度出来高算定病院,0.0,182.0,未結合,,,,
公益社団法人岐阜病院,岐阜県,令和5年度出来高算定病院,0.0,486.0,未結合,,,,
医療法人杏野会各務原病院,岐阜県,令和5年度出来高算定病院,0.0,120.0,サフィックス一致,0.9,各務原病院,,
清水駿府病院,静岡県,令和5年度出来高算定病院,0.0,160.0,未結合,,,,
医療法人社団健正会静岡アオイ病院,静岡県,令和5年度出来高算定病院,0.0,174.0,完全一致,1.0,医療法人社団健正会静岡アオイ病院,,
医療法人生生会松蔭病院,愛知県,令和5年度出来高算定病院,0.0,535.0,未結合,,,,
社会福祉法人ユーカリ優都会南ヶ丘病院,千葉県,令和5年度出来高算定病院,0.0,51.0,完全一致,1.0,社会福祉法人ユーカリ優都会 南ヶ丘病院,,
東京都立東部療育センター,東京都,令和5年度出来高算定病院,0.0,120.0,完全一致,1.0,東京都立東部療育センター,,
医療法人三九会三九朗東リハビリテーション病院,愛知県,令和5年度出来高算定病院,0.0,60.0,完全一致,1.0,医療法人三九会　三九朗東リハビリテーション病院,,
医療法人共生会みどりの風南知多病院,愛知県,令和5年度出来高算定病院,0.0,218.0,未結合,,,,
三重県厚生農業協同組合連合会鈴鹿厚生病院,三重県,令和5年度出来高算定病院,0.0,320.0,未結合,,,,
鈴鹿医療科学大学附属桜の森病院,三重県,令和5年度出来高算定病院,0.0,25.0,完全一致,1.0,鈴鹿医療科学大学附属桜の森病院,,
三重県立こころの医療センター,三重県,令和5年度出来高算定病院,0.0,318.0,未結合,,,,
医療法人稲門会いわくら病院,京都府,令和5年度出来高算定病院,0.0,378.0,未結合,,,,
公益財団法人松原病院,福井県,令和5年度出来高算定病院,0.0,180.0,未結合,,,,
医療法人韮崎東ヶ丘病院,山梨県,令和5年度出来高算定病院,0.0,147.0,完全一致,1.0,韮崎東ヶ丘病院,,
社会福祉法人四天王寺福祉事業団四天王寺和らぎ苑,大阪府,令和5年度出来高算定病院,0.0,100.0,サフィックス一致,0.9,四天王寺和らぎ苑,,
すくよか,大阪府,令和5年度出来高算定病院,0.0,110.0,サフィックス一致,0.9,社会福祉法人 大阪府障害者福祉事業団 すくよか,,
医療法人新明会神原病院,大阪府,令和5年度出来高算定病院,57.0,57.0,完全一致,1.0,医療法人新明会神原病院,,
医療法人藤井会北河内藤井病院,大阪府,令和5年度出来高算定病院,45.0,45.0,完全一致,1.0,医療法人藤井会北河内藤井病院,,
大阪市立弘済院附属病院,大阪府,令和5年度出来高算定病院,90.0,90.0,完全一致,1.0,大阪市立弘済院附属病院,,
